neighbourhood,listing_count,low_confidence,neighbourhood_group,centroid_lat,centroid_lon,tour_reviews_per_month_mean,tour_reviews_per_month_median,tour_reviews_total_mean,tour_entire_home_share,tour_dist_grote_markt_km_median,tour_dist_centraal_station_km_median,tour_dist_mas_km_median,tour_dist_zoo_km_median,tour_dist_coast_km_median,host_hhi,host_share_10plus,host_top5_share,host_multilisting_share,reg_min30_share,reg_min_nights_median,tenure_months_median,tenure_supporting_listings,rev_uncapped_median,rev_capped_median,rev_supporting_listings,occ_booked_days_median,occ_zero_availability_share,rev_divergence_ratio,occ_proxy_unreliable,price_median,price_iqr,price_cv,price_gini,price_median_entire_home_apt,price_median_hotel_room,price_median_private_room,price_median_shared_room,inactivity_never_reviewed_share,inactivity_stale_since_covid_share,topic_0_loading,topic_1_loading,topic_2_loading,topic_3_loading,topic_4_loading
Hoboken - Centrum,13,True,,51.17447461538461,4.355064615384615,0.881,0.66,18.923076923076923,0.5384615384615384,6.215310801348119,6.786667459624738,7.336432594158082,6.708333773618685,3.1418225952454883,0.13609467455621305,0.07692307692307693,0.6923076923076923,0.6153846153846154,0.0,2.0,25.0,10,597.5,597.5,10,332.0,0.38461538461538464,1.0,True,69.0,30.0,1.3350787725737767,0.4472339804408116,70.0,,62.0,,0.23076923076923078,0.46153846153846156,0.07131560797699513,0.15070377519973283,0.04559044961457875,0.3658141836973543,0.058883675819031284
Hoboken - Noord,6,True,,51.18320166666666,4.362215,0.3433333333333333,0.27,8.666666666666666,0.5,5.099286402607132,5.739105281948386,6.220431458690095,5.66330223093868,2.2142653106463706,0.22222222222222227,0.0,1.0,0.5,0.0,2.0,21.20754716981132,6,510.0,485.0,6,49.0,0.16666666666666666,1.0515463917525774,False,61.5,67.0,0.5936146733898319,0.2908902691511387,68.0,,45.0,,0.0,1.0,0.16690002160411288,0.0,0.0,0.16643331172922046,0.0
Hoboken - West,1,True,,51.18489,4.34611,1.02,1.02,36.0,0.0,5.491070839733616,6.358087643378893,6.598971490724362,6.286004497351957,3.109002589177231,1.0,0.0,1.0,0.0,0.0,1.0,35.294117647058826,1,630.0,630.0,1,365.0,1.0,1.0,True,35.0,0.0,,,,,35.0,,0.0,1.0,0.11835070117284197,0.16915635495373318,0.06292500273796837,0.4993329137429725,0.150235027392484
Hoboken - Zuidoost,1,True,,51.16984,4.36498,,,0.0,1.0,6.192068848089875,6.571953273851407,7.30128821246991,6.493497115466009,2.8392595894678156,1.0,1.0,1.0,1.0,0.0,3.0,,0,,,0,2.0,0.0,,False,170.0,0.0,,,170.0,,,,1.0,0.0,0.0,0.07171895482342454,0.0,0.6693259143969363,0.2589551307796392
Hoogte,19,True,,51.17738631578947,4.398967368421053,0.8466666666666666,0.42,14.947368421052632,0.631578947368421,5.100130457748085,4.842573664565141,6.054635655716015,4.7670948421760055,1.8223371387678509,0.08587257617728532,0.0,0.5263157894736842,0.631578947368421,0.0,2.0,19.18819188191882,15,882.0,882.0,15,185.0,0.3684210526315789,1.0,True,90.0,53.0,0.40358134798600626,0.22041974320736188,99.0,,49.0,,0.21052631578947367,0.5263157894736842,0.08853252338468615,0.16778541885525108,0.00650295265145293,0.389938211092043,0.13671457822709315
Kiel,20,True,,51.185533,4.3829605,0.7525000000000001,0.5700000000000001,10.9,0.65,4.21063383085875,4.435484643762363,5.268448355320798,4.35959709752582,0.893597203139856,0.07,0.0,0.45,0.55,0.05,2.5,19.624542124542124,16,343.75,343.75,16,242.5,0.1,1.0,False,60.0,21.25,0.37732079334125534,0.19714394516374714,70.0,,55.0,50.0,0.2,0.45,0.024003286523975598,0.04077172380352066,0.12347338550659256,0.33623381535954394,0.17551778880636723
Koornbloem,1,True,,51.16516,4.3819,,,0.0,1.0,6.34272398955878,6.407963738500313,7.3995048784404025,6.329768385225474,2.8191022645991795,1.0,0.0,1.0,0.0,0.0,2.0,,0,,,0,354.0,0.0,,False,450.0,0.0,,,450.0,,,,1.0,0.0,0.005280370477246216,0.04711186153418735,0.17486923967227233,0.035723225555027285,0.7370153027612668
Lambrechtshoeken,1,True,,51.2556,4.43384,,,0.0,0.0,4.512817263240392,4.35684013173159,3.390336382984018,4.430617042714108,2.0096165502614753,1.0,0.0,1.0,0.0,0.0,1.0,,0,,,0,365.0,1.0,,True,50.0,0.0,,,,,50.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Leugenberg,1,True,,51.30268,4.41292,1.32,1.32,22.0,0.0,9.117814682046992,9.523254112835343,8.132219334138536,9.587365643752454,5.330395856262389,1.0,0.0,1.0,0.0,0.0,2.0,16.666666666666664,1,660.0,660.0,1,287.0,0.0,1.0,False,30.0,0.0,,,,,30.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Linkeroever,17,True,,51.22252117647059,4.379647647058824,1.3575,0.745,22.470588235294116,0.6470588235294118,1.3942726071362996,2.806702206714765,2.1107967311290303,2.799205411418343,0.9811140157985097,0.06574394463667821,0.058823529411764705,0.35294117647058826,0.17647058823529413,0.058823529411764705,1.0,28.971238938053098,12,748.5,606.25,12,181.0,0.11764705882352941,1.234639175257732,False,80.0,55.0,0.4900057906522136,0.26269272316606107,80.0,,43.0,,0.29411764705882354,0.35294117647058826,0.016766122024434768,0.17088476356786253,0.07597497853388019,0.17348775525389498,0.15112167473757462
Luchtbal,1,True,,51.2574,4.423,0.16,0.16,1.0,1.0,4.35010581525271,4.4714298892882045,3.254000991828701,4.539343942610996,1.281668325179871,1.0,0.0,1.0,0.0,1.0,60.0,6.25,1,1050.0,87.5,1,252.0,0.0,12.0,False,35.0,0.0,,,35.0,,,,0.0,1.0,0.3169958867387051,0.09822652330471232,0.0008536020464062476,0.3960717687542379,0.18785221915593833
Markgrave,51,True,,51.19728333333334,4.404608235294117,0.6973333333333334,0.49,14.019607843137255,0.7647058823529411,2.6985047572299394,2.506544437624826,3.658011341625859,2.4293580711507476,0.8837534496929015,0.0572856593617839,0.21568627450980393,0.3333333333333333,0.35294117647058826,0.0196078431372549,2.0,23.157894736842106,45,588.0,580.0,45,331.0,0.45098039215686275,1.013793103448276,True,69.0,71.5,0.6977952234222029,0.3576722003507923,80.0,,43.0,19.0,0.11764705882352941,0.6078431372549019,0.10540602598154575,0.10739431670117094,0.08665687815067372,0.44149681242346345,0.10218322164510689
Merksem - Heide,6,True,,51.25396333333333,4.45566,0.9624999999999999,0.795,14.333333333333334,1.0,5.441350254333923,4.7916438884970205,4.376455504966809,4.869977603781866,3.6224259962575704,0.16666666666666669,0.0,0.8333333333333334,0.0,0.0,1.0,32.20647773279352,4,895.0,895.0,4,365.0,0.6666666666666666,1.0,True,65.0,31.75,0.3623758582363418,0.18678915135608049,65.0,,,,0.3333333333333333,0.5,0.019593542268529936,0.05412612147371912,0.011407485080756572,0.20528821673185207,0.0429179677784756
Middelheim,15,True,,51.183465999999996,4.395613333333333,0.9078571428571429,0.575,13.533333333333333,0.4666666666666667,4.210645713967198,4.18579633844193,5.209349498805874,4.107332044524908,0.7987917297700801,0.09333333333333335,0.0,0.4666666666666667,0.26666666666666666,0.0,2.0,15.8008658008658,14,317.5,317.5,14,277.0,0.4,1.0,True,65.0,41.0,0.4347349177010617,0.23975782038345106,75.0,,57.5,,0.06666666666666667,0.6,0.18404177360531584,0.049459162711162644,0.03790170372146979,0.33280680031830356,0.12912389297708152
Neerland,2,True,,51.16202,4.38852,1.11,1.11,18.5,0.5,6.61544440247703,6.549680677164837,7.64118103916277,6.472575077381415,3.1129554240692836,0.5,0.0,1.0,0.5,0.0,1.0,14.42652329749104,2,449.5,449.5,2,320.0,0.5,1.0,True,43.5,6.5,0.2113192679408073,0.07471264367816093,37.0,,50.0,,0.0,0.5,0.0,0.0,0.0,0.0,0.0
Nieuw - Kwartier Oost,17,True,,51.18394647058823,4.435538823529412,1.1786666666666668,1.37,18.058823529411764,0.5294117647058824,5.098645284687292,3.9967458331612598,5.610171196538499,3.9477801641064447,3.249838867520058,0.058823529411764705,0.0,0.29411764705882354,0.23529411764705882,0.0,1.0,17.51824817518248,15,600.0,600.0,15,202.0,0.23529411764705882,1.0,False,50.0,58.0,0.5436695701605881,0.29602710194025256,89.0,,32.5,,0.11764705882352941,0.47058823529411764,0.06145764755112437,0.11547808593999362,0.10983161975210859,0.4152485154328365,0.12151354308864283
Nieuw - Kwartier West,7,True,,51.18439,4.426185714285714,0.836,0.94,9.0,0.7142857142857143,4.671560198254805,3.7983853105454664,5.339371060736171,3.7387697997300435,2.601058284414436,0.14285714285714285,0.0,0.7142857142857143,0.2857142857142857,0.14285714285714285,2.0,17.02127659574468,5,480.0,480.0,5,314.0,0.2857142857142857,1.0,False,55.0,25.0,1.0624021013025486,0.4175824175824176,55.0,,42.5,,0.2857142857142857,0.14285714285714285,0.02008891160388896,0.2940273640331278,0.09905512121054745,0.3189112645839998,0.1250601957112932
Nieuw - Zuid,11,True,,51.20455545454545,4.385472727272727,0.7842857142857144,0.24,12.363636363636363,0.9090909090909091,2.0043349536228448,2.916476671786621,3.126536532254697,2.8487704525841857,0.7366135425595983,0.2727272727272727,0.18181818181818182,0.9090909090909091,0.6363636363636364,0.09090909090909091,5.0,33.333333333333336,7,750.0,500.0,7,303.0,0.36363636363636365,1.5,True,80.0,49.0,0.5507750645436272,0.27780543662252316,82.5,,25.0,,0.36363636363636365,0.6363636363636364,0.04504035765488876,0.04920828321986998,0.052071082359222025,0.4388657430880676,0.05117817004158802
Nieuwdreef,1,True,,51.24358,4.43553,0.27,0.27,13.0,1.0,3.5315595283710017,3.093927388834518,2.4462241907158795,3.1705219395993787,2.348797999517798,1.0,0.0,1.0,0.0,0.0,1.0,48.148148148148145,1,487.5,487.5,1,365.0,1.0,1.0,True,75.0,0.0,,,75.0,,,,0.0,1.0,0.07249210413610281,0.1374964594071583,0.033831425372010164,0.645428658267434,0.11075135281729466
Oosterveld - Elsdonk,12,True,,51.174170000000004,4.424976666666667,1.001,0.325,16.5,0.5,5.539953798591286,4.814917997366431,6.2724722848782815,4.749954933504877,3.016013776342689,0.125,0.0,0.5833333333333334,0.3333333333333333,0.0,2.0,35.27590090090091,10,544.25,544.25,10,313.0,0.3333333333333333,1.0,True,57.0,33.75,1.7288309440258136,0.5482986344302664,79.5,,55.0,,0.16666666666666666,0.5833333333333334,0.10852203470674902,0.1140837407530913,0.03267273742660222,0.24624827127504076,0.16513988250518338
Oud - Berchem,66,True,,51.19837075757576,4.424531212121212,1.0054901960784315,0.52,29.060606060606062,0.48484848484848486,3.149012038641298,2.099892963700565,3.672825034493787,2.0463653346581987,2.1347338406827117,0.06795224977043156,0.22727272727272727,0.36363636363636365,0.5303030303030303,0.045454545454545456,1.0,43.00847457627119,51,680.0,680.0,51,213.0,0.3484848484848485,1.0,True,55.0,44.5,1.6076808763028647,0.49706221802539086,74.0,33.0,49.0,41.5,0.22727272727272727,0.48484848484848486,0.0751252528021456,0.10623170250648292,0.08661215915995059,0.2504454590332107,0.1331005780133617
Oud - Merksem,14,True,,51.24024214285714,4.441085,1.4646153846153847,0.79,31.285714285714285,0.35714285714285715,3.5357693378054247,2.797618999450403,2.5300127375501202,2.8762724763121437,2.797696855465931,0.1326530612244898,0.0,0.5714285714285714,0.35714285714285715,0.0,2.0,20.318725099601597,13,450.0,450.0,13,330.5,0.42857142857142855,1.0,True,25.0,23.75,1.2485598290806041,0.4518704878582367,45.0,,22.0,,0.07142857142857142,0.21428571428571427,0.04042141217373393,0.20508144229688316,0.05563816851646264,0.22903969858675316,0.25553356414045275
Petroleum - Zuid,3,True,,51.19411333333333,4.38807,0.845,0.845,26.333333333333332,0.3333333333333333,2.9974917091807183,3.2192170127550455,4.052893667741033,3.140981812043679,0.11021353126775656,0.3333333333333333,0.0,1.0,0.0,0.0,3.0,31.211300309597522,2,2922.5,2922.5,2,365.0,0.6666666666666666,1.0,True,50.0,12.5,0.24052284646041733,0.10101010101010101,50.0,,57.5,,0.3333333333333333,0.3333333333333333,0.04868344695475909,0.028561486273466354,0.0,0.5757658206109775,0.34698924616079707
Polder,1,True,,51.3494,4.34242,0.4,0.4,21.0,1.0,14.812063968010571,15.692756835188158,14.089196460720787,15.740782637861289,11.365634443379076,1.0,0.0,1.0,0.0,0.0,2.0,52.5,1,8925.0,8925.0,1,108.0,0.0,1.0,False,425.0,0.0,,,425.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rivierenhof,4,True,,51.2136425,4.46358,0.16,0.1,2.5,0.25,4.544063913982262,2.973933610208606,4.261338123499675,3.001478034496599,4.71206303525241,0.375,0.0,1.0,0.75,0.0,2.0,40.0,3,128.0,128.0,3,190.5,0.5,1.0,True,41.5,20.5,0.3330863282358091,0.1527777777777778,64.0,,33.0,,0.25,0.75,0.0010635936991751254,0.0,0.0,0.9989364063008248,0.0
Schoonbroek-Rozemaai,1,True,,51.27226,4.41245,0.28,0.28,1.0,1.0,5.7575471875262805,6.154015697210179,4.7519494490532,6.216350095395636,1.9881220185788566,1.0,0.0,1.0,0.0,0.0,1.0,3.571428571428571,1,32.5,32.5,1,120.0,0.0,1.0,False,65.0,0.0,,,65.0,,,,0.0,0.0,0.036363003657728425,0.9502550155508968,0.013381980791374874,0.0,0.0
